id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
0,39.1,18.7,181,3750,1,2007
1,39.5,17.4,186,3800,0,2007
2,40.3,18,195,3250,0,2007
3,36.7,19.3,193,3450,0,2007
4,39.3,20.6,190,3650,1,2007
5,38.9,17.8,181,3625,0,2007
6,39.2,19.6,195,4675,1,2007
7,41.1,17.6,182,3200,0,2007
8,38.6,21.2,191,3800,1,2007
9,34.6,21.1,198,4400,1,2007
10,36.6,17.8,185,3700,0,2007
11,38.7,19,195,3450,0,2007
12,42.5,20.7,197,4500,1,2007
13,34.4,18.4,184,3325,0,2007
14,46,21.5,194,4200,1,2007
15,37.8,18.3,174,3400,0,2007
16,37.7,18.7,180,3600,1,2007
17,35.9,19.2,189,3800,0,2007
18,38.2,18.1,185,3950,1,2007
19,38.8,17.2,180,3800,1,2007
20,35.3,18.9,187,3800,0,2007
21,40.6,18.6,183,3550,1,2007
22,40.5,17.9,187,3200,0,2007
23,37.9,18.6,172,3150,0,2007
24,40.5,18.9,180,3950,1,2007
25,39.5,16.7,178,3250,0,2007
26,37.2,18.1,178,3900,1,2007
27,39.5,17.8,188,3300,0,2007
28,40.9,18.9,184,3900,1,2007
29,36.4,17,195,3325,0,2007
30,39.2,21.1,196,4150,1,2007
31,38.8,20,190,3950,1,2007
32,42.2,18.5,180,3550,0,2007
33,37.6,19.3,181,3300,0,2007
34,39.8,19.1,184,4650,1,2007
35,36.5,18,182,3150,0,2007
36,40.8,18.4,195,3900,1,2007
37,36,18.5,186,3100,0,2007
38,44.1,19.7,196,4400,1,2007
39,37,16.9,185,3000,0,2007
40,39.6,18.8,190,4600,1,2007
41,41.1,19,182,3425,1,2007
42,37.5,18.9,179,2975,1,2007
43,36,17.9,190,3450,0,2007
44,42.3,21.2,191,4150,1,2007
45,39.6,17.7,186,3500,0,2008
46,40.1,18.9,188,4300,1,2008
47,35,17.9,190,3450,0,2008
48,42,19.5,200,4050,1,2008
49,34.5,18.1,187,2900,0,2008
50,41.4,18.6,191,3700,1,2008
51,39,17.5,186,3550,0,2008
52,40.6,18.8,193,3800,1,2008
53,36.5,16.6,181,2850,0,2008
54,37.6,19.1,194,3750,1,2008
55,35.7,16.9,185,3150,0,2008
56,41.3,21.1,195,4400,1,2008
57,37.6,17,185,3600,0,2008
58,41.1,18.2,192,4050,1,2008
59,36.4,17.1,184,2850,0,2008
60,41.6,18,192,3950,1,2008
61,35.5,16.2,195,3350,0,2008
62,41.1,19.1,188,4100,1,2008
63,35.9,16.6,190,3050,0,2008
64,41.8,19.4,198,4450,1,2008
65,33.5,19,190,3600,0,2008
66,39.7,18.4,190,3900,1,2008
67,39.6,17.2,196,3550,0,2008
68,45.8,18.9,197,4150,1,2008
69,35.5,17.5,190,3700,0,2008
70,42.8,18.5,195,4250,1,2008
71,40.9,16.8,191,3700,0,2008
72,37.2,19.4,184,3900,1,2008
73,36.2,16.1,187,3550,0,2008
74,42.1,19.1,195,4000,1,2008
75,34.6,17.2,189,3200,0,2008
76,42.9,17.6,196,4700,1,2008
77,36.7,18.8,187,3800,0,2008
78,35.1,19.4,193,4200,1,2008
79,37.3,17.8,191,3350,0,2008
80,41.3,20.3,194,3550,1,2008
81,36.3,19.5,190,3800,1,2008
82,36.9,18.6,189,3500,0,2008
83,38.3,19.2,189,3950,1,2008
84,38.9,18.8,190,3600,0,2008
85,35.7,18,202,3550,0,2008
86,41.1,18.1,205,4300,1,2008
87,34,17.1,185,3400,0,2008
88,39.6,18.1,186,4450,1,2008
89,36.2,17.3,187,3300,0,2008
90,40.8,18.9,208,4300,1,2008
91,38.1,18.6,190,3700,0,2008
92,40.3,18.5,196,4350,1,2008
93,33.1,16.1,178,2900,0,2008
94,43.2,18.5,192,4100,1,2008
95,35,17.9,192,3725,0,2009
96,41,20,203,4725,1,2009
97,37.7,16,183,3075,0,2009
98,37.8,20,190,4250,1,2009
99,37.9,18.6,193,2925,0,2009
100,39.7,18.9,184,3550,1,2009
101,38.6,17.2,199,3750,0,2009
102,38.2,20,190,3900,1,2009
103,38.1,17,181,3175,0,2009
104,43.2,19,197,4775,1,2009
105,38.1,16.5,198,3825,0,2009
106,45.6,20.3,191,4600,1,2009
107,39.7,17.7,193,3200,0,2009
108,42.2,19.5,197,4275,1,2009
109,39.6,20.7,191,3900,0,2009
110,42.7,18.3,196,4075,1,2009
111,38.6,17,188,2900,0,2009
112,37.3,20.5,199,3775,1,2009
113,35.7,17,189,3350,0,2009
114,41.1,18.6,189,3325,1,2009
115,36.2,17.2,187,3150,0,2009
116,37.7,19.8,198,3500,1,2009
117,40.2,17,176,3450,0,2009
118,41.4,18.5,202,3875,1,2009
119,35.2,15.9,186,3050,0,2009
120,40.6,19,199,4000,1,2009
121,38.8,17.6,191,3275,0,2009
122,41.5,18.3,195,4300,1,2009
123,39,17.1,191,3050,0,2009
124,44.1,18,210,4000,1,2009
125,38.5,17.9,190,3325,0,2009
126,43.1,19.2,197,3500,1,2009
127,36.8,18.5,193,3500,0,2009
128,37.5,18.5,199,4475,1,2009
129,38.1,17.6,187,3425,0,2009
130,41.1,17.5,190,3900,1,2009
131,35.6,17.5,191,3175,0,2009
132,40.2,20.1,200,3975,1,2009
133,37,16.5,185,3400,0,2009
134,39.7,17.9,193,4250,1,2009
135,40.2,17.1,193,3400,0,2009
136,40.6,17.2,187,3475,1,2009
137,32.1,15.5,188,3050,0,2009
138,40.7,17,190,3725,1,2009
139,37.3,16.8,192,3000,0,2009
140,39,18.7,185,3650,1,2009
141,39.2,18.6,190,4250,1,2009
142,36.6,18.4,184,3475,0,2009
143,36,17.8,195,3450,0,2009
144,37.8,18.1,193,3750,1,2009
145,36,17.1,187,3700,0,2009
146,41.5,18.5,201,4000,1,2009
147,46.1,13.2,211,4500,0,2007
148,50,16.3,230,5700,1,2007
149,48.7,14.1,210,4450,0,2007
150,50,15.2,218,5700,1,2007
151,47.6,14.5,215,5400,1,2007
152,46.5,13.5,210,4550,0,2007
153,45.4,14.6,211,4800,0,2007
154,46.7,15.3,219,5200,1,2007
155,43.3,13.4,209,4400,0,2007
156,46.8,15.4,215,5150,1,2007
157,40.9,13.7,214,4650,0,2007
158,49,16.1,216,5550,1,2007
159,45.5,13.7,214,4650,0,2007
160,48.4,14.6,213,5850,1,2007
161,45.8,14.6,210,4200,0,2007
162,49.3,15.7,217,5850,1,2007
163,42,13.5,210,4150,0,2007
164,49.2,15.2,221,6300,1,2007
165,46.2,14.5,209,4800,0,2007
166,48.7,15.1,222,5350,1,2007
167,50.2,14.3,218,5700,1,2007
168,45.1,14.5,215,5000,0,2007
169,46.5,14.5,213,4400,0,2007
170,46.3,15.8,215,5050,1,2007
171,42.9,13.1,215,5000,0,2007
172,46.1,15.1,215,5100,1,2007
173,44.5,14.3,216,4100,1,2007
174,47.8,15,215,5650,1,2007
175,48.2,14.3,210,4600,0,2007
176,50,15.3,220,5550,1,2007
177,47.3,15.3,222,5250,1,2007
178,42.8,14.2,209,4700,0,2007
179,45.1,14.5,207,5050,0,2007
180,59.6,17,230,6050,1,2007
181,49.1,14.8,220,5150,0,2008
182,48.4,16.3,220,5400,1,2008
183,42.6,13.7,213,4950,0,2008
184,44.4,17.3,219,5250,1,2008
185,44,13.6,208,4350,0,2008
186,48.7,15.7,208,5350,1,2008
187,42.7,13.7,208,3950,0,2008
188,49.6,16,225,5700,1,2008
189,45.3,13.7,210,4300,0,2008
190,49.6,15,216,4750,1,2008
191,50.5,15.9,222,5550,1,2008
192,43.6,13.9,217,4900,0,2008
193,45.5,13.9,210,4200,0,2008
194,50.5,15.9,225,5400,1,2008
195,44.9,13.3,213,5100,0,2008
196,45.2,15.8,215,5300,1,2008
197,46.6,14.2,210,4850,0,2008
198,48.5,14.1,220,5300,1,2008
199,45.1,14.4,210,4400,0,2008
200,50.1,15,225,5000,1,2008
201,46.5,14.4,217,4900,0,2008
202,45,15.4,220,5050,1,2008
203,43.8,13.9,208,4300,0,2008
204,45.5,15,220,5000,1,2008
205,43.2,14.5,208,4450,0,2008
206,50.4,15.3,224,5550,1,2008
207,45.3,13.8,208,4200,0,2008
208,46.2,14.9,221,5300,1,2008
209,45.7,13.9,214,4400,0,2008
210,54.3,15.7,231,5650,1,2008
211,45.8,14.2,219,4700,0,2008
212,49.8,16.8,230,5700,1,2008
213,46.2,14.4,214,4650,1,2008
214,49.5,16.2,229,5800,1,2008
215,43.5,14.2,220,4700,0,2008
216,50.7,15,223,5550,1,2008
217,47.7,15,216,4750,0,2008
218,46.4,15.6,221,5000,1,2008
219,48.2,15.6,221,5100,1,2008
220,46.5,14.8,217,5200,0,2008
221,46.4,15,216,4700,0,2008
222,48.6,16,230,5800,1,2008
223,47.5,14.2,209,4600,0,2008
224,51.1,16.3,220,6000,1,2008
225,45.2,13.8,215,4750,0,2008
226,45.2,16.4,223,5950,1,2008
227,49.1,14.5,212,4625,0,2009
228,52.5,15.6,221,5450,1,2009
229,47.4,14.6,212,4725,0,2009
230,50,15.9,224,5350,1,2009
231,44.9,13.8,212,4750,0,2009
232,50.8,17.3,228,5600,1,2009
233,43.4,14.4,218,4600,0,2009
234,51.3,14.2,218,5300,1,2009
235,47.5,14,212,4875,0,2009
236,52.1,17,230,5550,1,2009
237,47.5,15,218,4950,0,2009
238,52.2,17.1,228,5400,1,2009
239,45.5,14.5,212,4750,0,2009
240,49.5,16.1,224,5650,1,2009
241,44.5,14.7,214,4850,0,2009
242,50.8,15.7,226,5200,1,2009
243,49.4,15.8,216,4925,1,2009
244,46.9,14.6,222,4875,0,2009
245,48.4,14.4,203,4625,0,2009
246,51.1,16.5,225,5250,1,2009
247,48.5,15,219,4850,0,2009
248,55.9,17,228,5600,1,2009
249,47.2,15.5,215,4975,0,2009
250,49.1,15,228,5500,1,2009
251,47.3,13.8,216,4725,1,2009
252,46.8,16.1,215,5500,1,2009
253,41.7,14.7,210,4700,0,2009
254,53.4,15.8,219,5500,1,2009
255,43.3,14,208,4575,0,2009
256,48.1,15.1,209,5500,1,2009
257,50.5,15.2,216,5000,0,2009
258,49.8,15.9,229,5950,1,2009
259,43.5,15.2,213,4650,0,2009
260,51.5,16.3,230,5500,1,2009
261,46.2,14.1,217,4375,0,2009
262,55.1,16,230,5850,1,2009
263,44.5,15.7,217,4875,0,2009
264,48.8,16.2,222,6000,1,2009
265,47.2,13.7,214,4925,0,2009
266,44,12,212,3576,0,2009
267,46.8,14.3,215,4850,0,2009
268,50.4,15.7,222,5750,1,2009
269,45.2,14.8,212,5200,0,2009
270,49.9,16.1,213,5400,1,2009
271,46.5,17.9,192,3500,0,2007
272,50,19.5,196,3900,1,2007
273,51.3,19.2,193,3650,1,2007
274,45.4,18.7,188,3525,0,2007
275,52.7,19.8,197,3725,1,2007
276,45.2,17.8,198,3950,0,2007
277,46.1,18.2,178,3250,0,2007
278,51.3,18.2,197,3750,1,2007
279,46,18.9,195,4150,0,2007
280,51.3,19.9,198,3700,1,2007
281,46.6,17.8,193,3800,0,2007
282,51.7,20.3,194,3775,1,2007
283,47,17.3,185,3700,0,2007
284,52,18.1,201,4050,1,2007
285,45.9,17.1,190,3575,0,2007
286,50.5,19.6,201,4050,1,2007
287,50.3,20,197,3300,1,2007
288,58,17.8,181,3700,0,2007
289,46.4,18.6,190,3450,0,2007
290,49.2,18.2,195,4400,1,2007
291,42.4,17.3,181,3600,0,2007
292,48.5,17.5,191,3400,1,2007
293,43.2,16.6,187,2900,0,2007
294,50.6,19.4,193,3800,1,2007
295,46.7,17.9,195,3300,0,2007
296,52,19,197,4150,1,2007
297,50.5,18.4,200,3400,0,2008
298,49.5,19,200,3800,1,2008
299,46.4,17.8,191,3700,0,2008
300,52.8,20,205,4550,1,2008
301,40.9,16.6,187,3200,0,2008
302,54.2,20.8,201,4300,1,2008
303,42.5,16.7,187,3350,0,2008
304,51,18.8,203,4100,1,2008
305,49.7,18.6,195,3600,1,2008
306,47.5,16.8,199,3900,0,2008
307,47.6,18.3,195,3850,0,2008
308,52,20.7,210,4800,1,2008
309,46.9,16.6,192,2700,0,2008
310,53.5,19.9,205,4500,1,2008
311,49,19.5,210,3950,1,2008
312,46.2,17.5,187,3650,0,2008
313,50.9,19.1,196,3550,1,2008
314,45.5,17,196,3500,0,2008
315,50.9,17.9,196,3675,0,2009
316,50.8,18.5,201,4450,1,2009
317,50.1,17.9,190,3400,0,2009
318,49,19.6,212,4300,1,2009
319,51.5,18.7,187,3250,1,2009
320,49.8,17.3,198,3675,0,2009
321,48.1,16.4,199,3325,0,2009
322,51.4,19,201,3950,1,2009
323,45.7,17.3,193,3600,0,2009
324,50.7,19.7,203,4050,1,2009
325,42.5,17.3,187,3350,0,2009
326,52.2,18.8,197,3450,1,2009
327,45.2,16.6,191,3250,0,2009
328,49.3,19.9,203,4050,1,2009
329,50.2,18.8,202,3800,1,2009
330,45.6,19.4,194,3525,0,2009
331,51.9,19.5,206,3950,1,2009
332,46.8,16.5,189,3650,0,2009
333,45.7,17,195,3650,0,2009
334,55.8,19.8,207,4000,1,2009
335,43.5,18.1,202,3400,0,2009
336,49.6,18.2,193,3775,1,2009
337,50.8,19,210,4100,1,2009
338,50.2,18.7,198,3775,0,2009
